Title,Artist,Lyrics
Casanova,Summer Cem & Bausa,"Jajajaja, ja
Baui, Baui, ey

Sie sagt, dass sie nur mich in ihrem Herzen trägt
Und redet schon von Liebe nach dem ersten Date
Du weißt, ich bin in meinem Modus und das heißt für dich
Heut Nacht sind wir zusammen, doch ich bleibe nicht

Casanova, Casanova (uhh)
Sie weiß, sie hat was besseres als mich verdient
Auf Kokain und Jacky Cola (ahh)
Sie ballert eine Line und sie ist frisch verliebt
Sie tanzt im Schnee
Und ihr Herz bricht dann, wenn ich geh' (uhh)
Und ich weiß, und ich weiß, es tut weh (es tut weh)
Heute hier, morgen da
Und in jeder Stadt wartet ein Mädchen, wow

[Summer Cem:]
Champagne Abi, so kannst du mich nenn'n (hey)
Bis zwölf Uhr mittags in 'nem Tourbus penn'n (okay)
Dreißig Prozent Face, siebzig Prozent Arsch
Ich seh' dich zum ersten Mal, doch erkenne dein Potenzial (uh)
Mit dir will ich heute Nacht allein sein (ah)
Big-Booty-Fotos in der Timeline (ja)
Fünf Jacky Cola und ein Mai Tai
A-Promis grüßen mich mit High five
Denn das sind die Vorteile hier, wenn du ein Rapper bist
Austauschschülerinnen, Hausfrau'n und Ghettochicks
Nimm noch einen Schluck, Baby, Baby, aber klecker nicht (uh)
Ich hab' Bitches in der ganzen scheiß Republik

[Bausa:]
Sie sagt, dass sie nur mich in ihrem Herzen trägt
Und redet schon von Liebe nach dem ersten Date
Du weißt, ich bin in meinem Modus und das heißt für dich
Heut Nacht sind wir zusammen, doch ich bleibe nicht

Casanova, Casanova (uhh)
Sie weiß, sie hat was besseres als mich verdient
Auf Kokain und Jacky Cola (ahh)
Sie ballert eine Line und sie ist frisch verliebt
Sie tanzt im Schnee
Und ihr Herz bricht dann, wenn ich geh' (uhh)
Und ich weiß, und ich weiß, es tut weh (es tut weh)
Heute hier, morgen da
Und in jeder Stadt wartet ein Mädchen, wow

Ecstasy, Heroin, Alkohol und Crack (Crack)
Geben dir nicht das Gefühl, was ich in dir erweck' (eh-eh)
Du weißt, es macht dich fertig und du weißt, es geht nicht weg
Aber trotzdem willst du wissen, wie es schmeckt (ja)
Du schaust in deine Zukunft und du siehst dich mit 'nem Baby im Arm
Aber, Baby, nein, du bist nicht meine Baby-Mama
Und auch wenn du weißt, wir finden nicht den Weg zum Altar
Und wenn dann nur mit Ehevertrag, das Leben ist hart (jaja)

Sie sagt, dass sie nur mich in ihrem Herzen trägt
Und redet schon von Liebe nach dem ersten Date
Du weißt, ich bin in meinem Modus und das heißt für dich
Heut Nacht sind wir zusammen, doch ich bleibe nicht

Casanova, Casanova (uhh)
Sie weiß, sie hat was besseres als mich verdient
Auf Kokain und Jacky Cola (ahh)
Sie ballert eine Line und sie ist frisch verliebt
Sie tanzt im Schnee
Und ihr Herz bricht dann, wenn ich geh' (uhh)
Und ich weiß, und ich weiß, es tut weh (es tut weh)
Heute hier, morgen da
Und in jeder Stadt wartet ein Mädchen, wow"
Melodien,Capital Bra feat. Juju,"[Capital Bra:]
Na na na na
Na na na na
Na na na na na
Na na na na

Baby, sag mir, warum lässt du mich allein?
Ich bin laut, geh' dir fremd und trinke viel
Aber Baby, bitte, du musst mir verzeih'n
In meinem Kopf war'n wieder diese Melodien
Na na na, Baby, sag mir, warum lässt du mich allein?
Ich bin laut, geh' dir fremd und trinke viel
Aber Baby, bitte, du musst mir verzeih'n
In meinem Kopf war'n wieder diese Melodien

Babe, ich weiß, du hast das alles nicht verdient (na na na)
Du warst neben mir, da war ich noch ein Dieb (jajaja)
Sag, wie oft hab' ich dich schon enttäuscht?
Sag, wie oft hast du dich wieder neu verliebt? (na na na)
Um mich rum so viele Bitches
Aber keine von den'n kann sich mit dir messen, na na na na
Heute kennen mich so viele
Aber du kennst mich am besten, na na na
Ich bin wieder unterwegs, ich seh' tausend Farben (ja)
Du machst dir wieder Sorgen, du hast tausend Fragen (ah)
Ich verletz' dich immer wieder, du hast tausend Narben (ja)
Du nennst mich Capital, doch ich hab' tausend Namen
Du nennst mich Capital, doch ich hab' tausend Namen

Baby, sag mir, warum lässt du mich allein?
Ich bin laut, geh' dir fremd und trinke viel
Aber Baby, bitte, du musst mir verzeih'n
In meinem Kopf war'n wieder diese Melodien
Na na na, Baby, sag mir, warum lässt du mich allein?
Ich bin laut, geh' dir fremd und trinke viel
Aber Baby, bitte, du musst mir verzeih'n
In meinem Kopf war'n wieder diese Melodien

[Juju:]
Du weißt doch selber grade, was du hier verpasst (jajaja)
Und ich frag' mich, warum kämpfst du nicht um mich? (na na na)
Jedes Wochenende fehlst du mir so krass, ah
Keiner von den Fotzen kennt dich so wie ich (nein, nein, nein)
Du rufst wieder mal nicht an, ich weiß Bescheid (Bescheid)
Du bist draußen unterwegs mit deinen Jungs (deinen Jungs)
Baby, diesmal kann ich dir nicht mehr verzeih'n (nein)
Und du stinkst aus deinem Maul so mies nach Suff, ah
Vielleicht sollt' ich mir 'n Woddi hol'n (ganz schnell, ja)
Und nochmal chill'n mit paar Vollidioten (Tankstelle, ja)
Vielleicht geh' ich in Club
Vielleicht trink' ich heute mehr als ein'n Schluck, Baby
Baby, wie gefällt dir das? Du hast Kater, ich hab' Spaß
THC in meinem Kopf und bisschen Whiskey in mei'm Glas (oh, jajaja)
Du dachtest, diese Liebe hier bleibt ganz stabil
Doch ich muss dir sagen, du hast grad verkackt bei mir, Babey, Babey

Baby, glaub mir das, ich seh' es nicht mehr ein
Für dich ist das alles immer nur ein Spiel
Ab heute gehe ich und lasse dich allein
Ich höre selber grade diese Melodien
Na na na, Baby, glaub mir das, ich seh' es nicht mehr ein
Für dich ist das alles immer nur ein Spiel
Ab heute gehe ich und lasse dich allein
Ich höre selber grade diese Melodien

[Capital Bra:]
Baby, sag mir, warum lässt du mich allein?
Ich bin laut, geh' dir fremd und trinke viel
Aber Baby, bitte, du musst mir verzeih'n
In meinem Kopf war'n wieder diese Melodien
Na na na, Baby, sag mir, warum lässt du mich allein?
Ich bin laut, geh' dir fremd und trinke viel
Aber Baby, bitte, du musst mir verzeih'n
In meinem Kopf war'n wieder diese Melodien"
One Night Stand,Capital Bra,"Na na na na
Na na na na na na
Na na na na
Na na na na na na

Ty moja ljubimaja
Takaja divnaja, krasivaja, ja
Spravedlivaja, nepobedimaja
Ty moja, ja, Baby, ty moja, ja
Ty moja ljubimaja
Takaja divnaja, krasivaja, ja
Spravedlivaja, nepobedimaja
Ty moja, ja, Baby, ty moja, ja

Baby, komm, steig ein und wir fahren durch die Stadt
Das Outfit, das du heute trägst, verwirrt meinen Verstand
Ja, sie regt mich manchmal auf und macht mich manchmal krank
Aber jeden meiner Gucci-Pullis wäscht sie mit der Hand
Komm, wir fahren ins Hotel, Baby, lass uns einfach rumliegen
Wir rauchen Joints, gucken Netflix, ich bin zufrieden
Manchmal sind wir laut, wenn wir uns lieben (na na na na na na)
Aber manchmal so still, dass ich glaub', ich hör' dein Blut fließen (na na na na na)
Baby, lass uns losfliegen, ich halt' dich fest, du wirst nie wieder frier'n
Wir fliegen nach Hawaii und geh'n völlig high am Strand spazier'n
Ich will noch so viel probier'n, so viele schöne Ziele
Marokko, Chile, ist das echte Liebe? (na na na na)

Oder nur ein One-Night-Stand?
Oder nur ein One-Night-Stand?
Baby, sag mir
Ist es nur ein One-Night-Stand?
Ist es nur ein One-Night-Stand?
Na na na na

Ty moja ljubimaja
Takaja divnaja, krasivaja, ja
Spravedlivaja, nepobedimaja
Ty moja, ja, Baby, ty moja, ja
Ty moja ljubimaja
Takaja divnaja, krasivaja, ja
Spravedlivaja, nepobedimaja
Ty moja, ja, Baby, ty moja, ja

Baby, komm, steig' ein und wir fahr'n direkt zu mir
Du liebst das lilane Papier (na na na na na na)
Aber sagst, du bist verliebt
Wir steh'n vor meiner Tür und du gehst hoch wie Dynamit
Ja, sie regt mich manchmal auf, doch ihr Lächeln bringt mich runter
Ja, sie kennt die Bratans, Mann, sie kennt sogar mein'n Bunker
Ja, ich fühl' mich frei, wenn ich einfach mit ihr rumfahr' (na na na na na na)
Komm, wir fliegen nach Dubai und ich kauf' dir fette Klunker
Nein, ich bin kein Pumper, doch bring' dich bis zum Ende der Welt
Bis sie unter uns zerfällt
Nein, ich hab' mich nie verstellt
Doch ich frag' mich, ist das alles echt? (na na na na)

Oder nur ein One-Night-Stand?
Oder nur ein One-Night-Stand?
Baby, sag mir
Ist es nur ein One-Night-Stand?
Ist es nur ein One-Night-Stand?
Na na na na

Ty moja ljubimaja
Takaja divnaja, krasivaja, ja
Spravedlivaja, nepobedimaja
Ty moja, ja, Baby, ty moja, ja
Ty moja ljubimaja
Takaja divnaja, krasivaja, ja
Spravedlivaja, nepobedimaja
Ty moja, ja, Baby, ty moja, ja

Ist es nur ein One Night Stand?
Na na na na na na"
Zusammen,Die Fantastischen Vier feat. Clueso,"Wir sind zusammen groß
Wir sind zusammen eins
Komm lass 'n bisschen noch zusammen bleiben
Nehmt die Flossen hoch
Und die Tassen auch
Wir feiern heute bis zum Morgengrauen

Wenn ich sag', so wie Topf und Deckel
Wenn ich sag', so wie Rotz und Löffel
Wenn ich sage, wie Blitz und Donner
Sozusagen ohne Punkt und Komma

Wenn ich sag', so wie Pech und Schwefel
Wenn ich sag', so wie Herz und Seele
Wenn ich sag', für den Rest des Lebens
Ist jedem klar, über was wir reden

Ja Mann, denn allein sein ist out
Vorbei ist die Zeit, in der man keinem mehr traut
Falls sie dich fragen ""Bist du allein hier?""
Sag ihnen ""Nein, denn ich bin mit allen hier""


Wir, wir sind unzertrennbar
Wir, wir sind unverkennbar
Wir setzen uns 'n Denkmal

Wir sind zusammen groß
Wir sind zusammen eins
Komm lass 'n bisschen noch zusammen bleiben
Nehmt die Flossen hoch
Und die Tassen auch
Wir feiern heute bis zum Morgengrauen
Denn nur zusammen, ist man nicht allein
Komm lass uns alles miteinander teilen
Denn nur zusammen, ist man nicht allein
Komm lass 'n bisschen noch zusammen bleiben

Wenn ich sag', so wie Mann und Frau
Zusammen, so wie 'ja genau'
Zusammen, so wie alt und grau
So wie ups and downs, bin ich abgehauen

Zusammen, so wie Arsch auf Eimer
Zusammen, so wie Fahrgemeinschaft
Sozusagen maßgeschneidert
So zusammen, war noch keiner
Zusammen, so wie wahre Freundschaft
Zusammen, wie Clueso und Fantas
Der ganzen Mannschaft 'nen Heiratsantrag
Das mit uns geht weit zurück

Wir sind unzertrennbar
Wir, wir sind unverkennbar
Wir setzen uns 'n Denkmal

Wir sind zusammen groß
Wir sind zusammen eins
Komm lass 'n bisschen noch zusammen bleiben
Nehmt die Flossen hoch
Und die Tassen auch
Wir feiern heute bis zum Morgengrauen
Denn nur zusammen, ist man nicht allein
Komm lass uns alles miteinander teilen
Denn nur zusammen, ist man nicht allein
Komm lass 'n bisschen noch zusammen bleiben

Denn wir sind hier im Platz
Stets zusammen, wie Beats und Bass
Ab durch, statt fuck you mast
Weil nichts dazwischen passt

Hier gibt's kein zu tief, zu flach
Zu dies, zu das
Zu nah, zu lang
Denn wir bleiben zusammen

An alle troyen Liebespaare
Gute Freunde, viele Jahre
Es gibt kein ich in diesem wir
Doch du siehst dich in diesen vier

La familia
Das Gefühl ist da
Mach die Nacht zum Tag
Bis zum Nachmittag, yeah

Komm wir feiern heut Zusammstag, yeah

Wir sind zusammen groß
Wir sind zusammen eins
Komm lass 'n bisschen noch zusammen bleiben
Nehmt die Flossen hoch
Und die Tassen auch
Wir feiern heute bis zum Morgengrauen
Denn nur zusammen, ist man nicht allein
Komm lass uns alles miteinander teilen
Denn nur zusammen, ist man nicht allein
Komm lass 'n bisschen noch zusammen bleiben

Bisschen noch, bisschen noch
B-bisschen noch, bis-schen
Bisschen noch, bisschen noch
B-bisschen noch, bis-schen"
Leiser,LEA,"Ich lieg' in deinem Arm und du redest wieder nur von dir
Oh, warum hab ich mich jetzt schon wieder hierher verirrt?
Du sprichst von Partys in New York, von Shootings in Paris
Mal ganz nebenbei schmeißt du den besten Rave in Wien, klar
Aha, hab' schon verstanden

Und alle meine Freunde finden, dass ich leiser bin
Dass ich leiser bin, leiser, seit ich bei dir bin
Alle meine Freunde fragen, ob ich glücklich bin
Weil ich leiser bin, leiser, seit ich bei dir bin

Alle meine Freunde
Alle meine Freunde
A-a-alle meine Freunde
Finden, dass ich leiser bin
Alle meine Freunde
Alle meine Freunde
A-a-alle meine Freunde

Du hörst mir nur zu, wenn ich Worte sag', die dir gefall'n
Es ist Mitte Juli, doch mir ist unendlich kalt
Du hältst an deinem Handy und ich fühl' mich einsam
Ziehst an deiner Kippe und ich ziehe weiter
Denn bei dir bin ich nie wie ich bin, wie ich eigentlich bin

Und alle meine Freunde finden, dass ich leiser bin
Dass ich leiser bin, leiser, seit ich bei dir bin
Alle meine Freunde fragen, ob ich glücklich bin
Weil ich leiser bin, leiser, seit ich bei dir bin

Alle meine Freunde
Alle meine Freunde
A-a-alle meine Freunde
Finden, dass ich leiser bin
Alle meine Freunde
Alle meine Freunde
A-a-alle meine Freunde

Ich hab's nicht mal gemerkt
Nicht mal gemerkt
Ich hab's nicht mal gemerkt (alle meine Freunde)
Nicht mal gemerkt (alle meine Freunde)
Finden, dass ich leiser bin

Alle meine Freunde
Alle meine Freunde
A-a-alle meine Freunde
Ich hab's nicht mal gemerkt
Alle meine Freunde
Alle meine Freunde
A-a-alle meine Freunde
Finden, dass ich leiser bin

Alle meine Freunde finden, dass ich leiser bin
Dass ich leiser bin, leiser, seit ich bei dir bin
Alle meine Freunde fragen, ob ich glücklich bin
Weil ich leiser bin, leiser, seit ich bei dir bin"
Tamam Tamam,Summer Cem,"Tamam, tamam

Vor der Tür stehen rund tausend Mann (mhh)
Bitch, es gibt keinen Kuss auf die Hand (eh-eh)
Nur Fotos plus Autogramm (ja)
Easy, easy, tamam, tamam
Immer rufen die Kunden mich an (wrrr)
Und sie bring'n mich um den Verstand (ja)
Heute schneit es einhundert Gramm
No sıkıntı, tamam, tamam

Mhh, popp' eine Molly
Mhh, rock, rock your body
Mhh, durch die Stadt im Ferrari
Mit Kahbas und Barbies zu 'ner 80er-Party

Uh-uhh, red nicht, fang an
Der Beat geht ba-bam-ba-bam
Beste Ware aus Amsterdam
Easy, easy, tamam, tamam

Tamam, tamam
Tamam, tamam
Tamam, tamam
Easy, easy, tamam, tamam
Tamam, tamam
Tamam, tamam
Tamam, tamam
Easy, easy, tamam, tamam

Egal, wo ich hingeh', ich werd' erkannt (ja)
Fragt mal, warum, weil ich bin bekannt (eh)
Nobu Malibu, wer kann, der kann (ja)
Easy, easy, tamam, tamam
Pronto, pronto, avanti, lan (ja)
Komm mir nicht mit falan filan (heh)
Eine Faust, dein Kafa Zidane (huh)
No sıkıntı, tamam, tamam

Mhh, popp' eine Molly
Mhh, rock, rock your body
Mhh, fahr' mit Hassan und Ali
Auf Schnaps und Bacardi zu 'ner 80er-Party

Uh-uhh, red nicht, fang an
Der Beat geht ba-bam-ba-bam
Beste Ware aus Amsterdam
Easy, easy, tamam, tamam

Tamam, tamam
Tamam, tamam
Tamam, tamam
Easy, easy, tamam, tamam
Tamam, tamam
Tamam, tamam
Tamam, tamam
Easy, easy, tamam, tamam

Easy, easy, tamam, tamam"
Ohne mein Team,Bonez MC & RAF Camora feat. Maxwell,"Zu sechst im Mercedes, weil alle Jungs müssen mit
Ein bisschen Sekt für die Mädels und auf hundert ein'n Fick
Kein Gesetz, keine Regeln – lass uns Kohle verdien'n
Weil so lässt es sich leben – und niemals ohne mein Team

[RAF Camora:]
Ich schließe die Tür des Apartments
Wenn die Party komplett ist
Monika, Sarah, Belinda
Von Instagram auf meine Guestlist
Menthol in der Kippe, Soda im Drink
'Ne Chick will, dass ich für sie „So lala“ sing'
Sie will mich intim
Ich kooperiere nicht ohne mein Team!
Die Sonne scheint durch die Gardine
Hautfarbe: Ovomaltine
Kokain in der Kabine zu zweit
Der Tod hat die Todespapiere verteilt
All meine Arabs sind heute Latinos
„Chica, ¿qué pasa?“; die Boys sind amigos
Sie passt mir den Joint, lass' die Homies dran ziehen
Gesmokt wird nie ohne mein Team!

Nie ohne – ohne mein Team! Nie ohne – ohne mein Team!
Hamburg, Berlin, West-Wien! Nie ohne – ohne mein Team!
Nie ohne – ohne mein Team! Nie ohne – ohne mein Team!
Hamburg, Berlin, West-Wien! Nie ohne – ohne mein Team!

[RAF Camora & Bonez MC:]
Ballern, ballern – nicht um zwölf Uhr, aber dreizehn Uhr ist schon okay
Ein'n jallern, zwei jallern, ab dreizehn Uhr ist schon okay
Ein Glas Yamazaki, nicht schon um zwölf, aber eins ist okay
Jeden Tag eine Party

[Maxwell:]
Trete nicht auf, nicht ohne mein Team
Keiner hier nimmt uns die Philosophie
Alles betäubt – Lidocain
Frag nicht, wie viel ich am Kilo verdien'
Ein Chick in der Linken, ein Chick in der Rechten
Wir sehen uns beim Echo – Liste von Maxwell!
Bring mir den Rum, eine Kiste vom Besten
Brauch' kein Hotel, Baby, ficken im Backstage
Was heute passiert, wird morgen verdrängt
Lass' mich am Strand von der Sonne verbrenn'
Sie komm' mit den Cops, ich komm' mit der Gang
In Sachen Gewalt sind wir zu konsequent
Alle aus Ghana sind heut Brasilianer
Prince Boateng von der Copacabana
Koma sein Vater, die Drogen sind clean
Alle woll'n mich oben-ohne bedien'n, doch nie ohne mein Team!

Nie ohne – ohne mein Team! Nie ohne – ohne mein Team!
Hamburg, Berlin, West-Wien! Nie ohne – ohne mein Team!
Nie ohne – ohne mein Team! Nie ohne – ohne mein Team!
Hamburg, Berlin, West-Wien! Nie ohne – ohne mein Team!

[RAF Camora & Bonez MC:]
Ballern, ballern – nicht um zwölf Uhr, aber dreizehn Uhr ist schon okay
Ein'n jallern, zwei jallern, ab dreizehn Uhr ist schon okay
Ein Glas Yamazaki, nicht schon um zwölf, aber eins ist okay
Jeden Tag eine Party

[Bonez MC:]
Zu sechst im Mercedes, weil alle Jungs müssen mit
Ein bisschen Sekt für die Mädels und auf hundert ein'n Fick
Kein Gesetz, keine Regeln – lass uns Kohle verdien'n
Weil so lässt es sich leben – und niemals ohne mein Team

[RAF Camora & Bonez MC:]
Ballern, ballern – nicht um zwölf Uhr, aber dreizehn Uhr ist schon okay
Ein'n jallern, zwei jallern, ab dreizehn Uhr ist schon okay
Ein Glas Yamazaki, nicht schon um zwölf, aber eins ist okay
Jeden Tag eine Party, weil ab dreizehn Uhr ist schon okay

Hey, hey, hey, hey; hey, hey, he-e-ey
Hey, hey, hey, hey; hey, hey, he-e-ey
Hey, hey, hey, hey; hey, hey, he-e-ey
Hey, hey, hey, hey; hey, hey, he-e-ey"
Heute mit mir,Nimo,"Jajajajajaja, jaaa
Ey (ey)

Hab' dich durch den ganzen Club verfolgt
Und jetzt steh' ich vor dir (und jetzt steh' ich vor dir)
Woher ich weiß, dass du einen Freund hast?
Baby, ich bin gut informiert, jaja (ich bin gut informiert)
Aber vergiss dein'n Freund (jaja)
Denn du bist heute mit mir (du bist heute mit mir)
Ja, okay, ich hab' kein gutes Zeugnis
Aber dafür buntes Papier, jajajaja
Bia ziba, ja, azizam
Bist du heute nur für mich da?
Keine andere Bigbootydiva scheint heute wie du
Deshalb bin ich für dich da
""Aber sag mir, kommst du wieder?
Oder wird das nur ein One-Night-Stand?
Oder wird das nur ein One-Night-Stand?"", jajajajaja

Baby, vergiss dein'n Freund
Denn du bist heute mit mir (du bist heute mit mir)
Ja, ich weiß, du musst morgen zur Arbeit
Doch du bist heute mit mir (du bist heute mit mir)
Nein, du brauchst heute keinen Euro
Denn du bist heute mit mir (du bist heute mit mir)
Bitte, bitte, komm, vergiss dein'n Freund
Denn du bist heute mit mir

Du bist heute mit mir, mir, mir, mir, mir
Du bist heute mit mir, mir, mir, mir, mir

Sie shakt zu den Drums von ""Me & U"" – Cassie, Jackie
Habibi, ich hab' Haze intus
Ja, mein Kopf ist cool, kafa leyla – Party
Kokosnuss Bettina Barty auf Kari
Mach dir keine Sorgen um mich
Heute sorge ich mich um dich wie kein andrer
Keine Bikinistreifen an deiner Schulter
Verratet mir, dass du nicht lang auf der Bank lagst (jajajaja)
Kein Zeitdruck, Baby, mach langsam
Tanz, Baby, tanz, ja (tanz, Baby, tanz, ja)
Kein Zeitdruck, Baby, mach langsam!
Tanz, Baby, tanz, ja

Ja, denn du bist heute mit mir
Baby, vergiss dein'n Freund
Denn du bist heute mit mir (du bist heute mit mir)
Ja, ich weiß, du musst morgen zur Arbeit
Doch du bist heute mit mir (du bist heute mit mir)
Nein, du brauchst heute keinen Euro
Denn du bist heute mit mir (du bist heute mit mir)
Bitte, bitte, komm, vergiss dein'n Freund
Denn du bist heute mit mir

Du bist heute mit mir, mir, mir, mir, mir
Du bist heute mit mir, mir, mir, mir, mir
Nur mit mir …
Nur mit mir … aber nur für heute …

Hey, Baby, komm, mach das Cabrio auf
Leg 'ne Platte von Biggie, komm, mach das Radio aus
Machen dich etwa seine Reime geil?
Oder warum führst du meine Hand unter dein Seidenkleid?
Habibi, yeah, you hypnotized me
Ich lasse dich heut nicht allein
Egal, wohin ich geh', du bist mit mir
Nur du bekommst meine Aufmerksamkeit
Egal, was heut noch passiert (egal, was heut noch passiert)
Dir wird es gut geh'n, Habibi

Denn du bist heute mit mir
Baby, vergiss dein'n Freund
Denn du bist heute mit mir (du bist heute mit mir)
Ja, ich weiß, du musst morgen zur Arbeit
Doch du bist heute mit mir (du bist heute mit mir)
Nein, du brauchst heute keinen Euro
Denn du bist heute mit mir (du bist heute mit mir)
Bitte, bitte, komm, vergiss dein'n Freund
Denn du bist heute mit mir

Du bist heute mit mir, mir, mir, mir, mir
Du bist heute mit mir, mir, mir, mir, mir

Denn du bist heute mit mir
Baby, vergiss dein'n Freund
Denn du bist heute mit mir (du bist heute mit mir)
Ja, ich weiß, du musst morgen zur Arbeit
Doch du bist heute mit mir (du bist heute mit mir)
Nein, du brauchst heute keinen Euro
Denn du bist heute mit mir (du bist heute mit mir)
Bitte, bitte, komm, vergiss dein'n Freund
Denn du bist heute mit mir

Du bist heute mit mir, mir, mir, mir, mir
Du bist heute mit mir, mir, mir, mir, mir

Denn du bist heute mit mir
Denn du bist heute mit mir
Nur mit mir …
Habibi, nur mit mir"
Wohin willst du,Gestört aber GeiL feat. Lea,"Kannst du mich flüstern hör'n? Hörst du mich?
Spürst du den Tau auf meiner Haut?
In diesem Moment fühl' ich mich frei
So frei wie nie zuvor, ich werd' nie wieder so frei sein

Ich schau' dich einfach an, das könnt' ich stundenlang
Und dabei frag' ich mich
Ich schau' dich einfach an, das könnt' ich stundenlang

Wohin willst du, wenn du nicht mehr bei mir sein kannst?
Wohin willst du? (wohin willst du?)
Wie weit gehst du? Sieben Tage, sieben Nächte lang
Ich will mit, verstehst du das? (verstehst du das?)

Ich spür' die Zeit in meiner Hand, die niemals stillsteht
Wie sie leiser durch die Finger rinnt
Doch das macht mir heute keine Angst
Denn ich weiß, du bist da und nimmst mir meine Sorgen ab

Ich schau' dich einfach an, das könnt' ich stundenlang
Und dabei frag' ich mich
Ich schau' dich einfach an, das könnt' ich stundenlang

Wohin willst du, wenn du nicht mehr bei mir sein kannst?
Wohin willst du? (wohin willst du?)
Wie weit gehst du? Sieben Tage, sieben Nächte lang
Ich will mit, verstehst du das? (verstehst du das?)

Komm, wir fliegen heute Nacht bis ans Ende dieser Welt
Drei Million'n Mal nachgedacht, den Entschluss schon längst gefasst
Wir müssen hier weg, wir müssen hier weg

Willst du?
Wohin willst du, wenn du nicht mehr bei mir sein kannst?
Wohin willst du? (verstehst du das?)
Wie weit gehst du? Sieben Tage, sieben Nächte lang
Ich will mit, verstehst du das? (verstehst du das?)
Ich will mit, verstehst du das?"
Sowieso,Mark Foster,"Ey stranges, kleines leben
Verläuft auf seitenwegen
Ich such' die mitte, doch mein glück liegt meist daneben
So selten flugrakete, bin mehr so zugverspätung
Doch die ernte kommt immer, man
Es ist gut gesät und
Ich hab kein stress mit warten
Geh' auch durch schlechte phasen
Ich bin geduldig und nehme zum schluss die besten karten
Und fällt der jenga-turm, egal gibt eh verlängerung
Halt neuer plan dann, ey, leben ist veränderung

Egal was kommt, es wird gut, sowieso
Immer geht ne neue tür auf, irgendwo
Auch wenn's grad nicht so läuft, wie gewohnt
Egal, es wird gut, sowieso

Verrückte, bunte reise
Mal tinnitus und mal leise
Der bizeps wächst, vom steuerrad-rumgereiße
So selten fitte planung, bin mehr so dritte mahnung
Doch immer sicher im gemetzel, dank der schicken tarnung
Ich schätze wegbegleiter, auch wenn alles seine zeit hat
Mal elf freunde, dann doch one-on-one karatefighter
Und streikt der sendeton bleibt immer die erinnerung
Halt neuer plan dann, im blick nach vorn steckt linderung

Egal was kommt, es wird gut, sowieso
Immer geht ne neue tür auf, irgendwo
Auch wenn's grad nicht so läuft, wie gewohnt
Egal, es wird gut, sowieso
Egal was kommt, es wird gut, sowieso
Immer geht ne neue tür auf, irgendwo
Auch wenn's grad nicht so läuft, wie gewohnt
Egal, es wird gut, sowieso
Egal was kommt, es wird gut, sowieso
Immer geht ne neue tür auf, irgendwo
Auch wenn's grad nicht so läuft, wie gewohnt
Egal, es wird gut, sowieso
Egal was kommt, es wird gut, sowieso
Immer geht ne neue tür auf, irgendwo
Auch wenn's grad nicht so läuft, wie gewohnt
Egal, es wird gut, sowieso
Auch wenn's grad nicht so läuft, wie gewohnt
Egal, es wird gut, sowieso"
Unendlichkeit,Cro,"Das Leben macht Spaß, ja, du bist 'n Star, yeah
Isst vom goldenen Löffel und fickst schöne Frau'n
Zehntausend km/h, doch du gibst noch Gas
Und brauchst nie wieder Schlaf, denn du lebst den Traum
Doch wozu Girls, Cash, pretty things, 'n wunderschönen Benz in weiß?
Und all der ganze fancy Scheiß
Du stehst vor hunderttausend Fans und weißt:
Irgendwann ist der Moment vorbei
Und ich wollt' eigentlich Unendlichkeit

Scheiß auf Money, scheiß auf Bitches und Karrierescheiß
Ich wurde nicht weil ich gut ficke bei den Apes gesignt
Scheiß auf Platin und das Business, denn es geht vorbei
Keine Zeit, das hier ist mein Ticket in die Ewigkeit
Und wenn es gut läuft, hab' ich siebzig Jahre Lebenszeit
Um zu verhindern, dass die Seele kilometerweit
Schwerelos ins Leere treibt, bitte Gott, steh mir bei
Dass am Ende dieses Lebens mehr als 'ne Trophäe bleibt!
Yeah, yeah, ich weiß, wir hab'n zu wenig Zeit
Doch um was zu reißen, glaub mir, reichen ein paar Megabyte
Es ist schon spät, ich weiß, sorry, doch mir fehlt 'n Reim
Geh schon mal voraus und richte aus, es komm'n 'n Haufen
Neuer Dinge, nach den'n alle sich erinnern, wer ich war
Damals mit der MPC vom Zimmer in die Charts
Ich bin mir sicher, man kann nur gewinnen, wenn man wagt
Die Welt ist nicht genug, ich halt' den Finger Richtung Mars

Das Leben macht Spaß, ja, du bist 'n Star, yeah
Isst vom goldenen Löffel und fickst schöne Frau'n
Zehntausend km/h, doch du gibst noch Gas
Und brauchst nie wieder Schlaf, denn du lebst den Traum
Doch wozu Girls, Cash, pretty things, 'n wunderschönen Benz in weiß?
Und all der ganze fancy Scheiß
Du stehst vor hunderttausend Fans und weißt:
Irgendwann ist der Moment vorbei
Und ich wollt' eigentlich Unendlichkeit

I remember this for life
And now I see much clearer
I'm not scared to die
'Cause I will live forever
I will be alive
In this moment
For eternity, for eternity

So schnell wie alles kam ist es irgendwann vorbei
Und deshalb leb' ich jeden Tag als gäb' es nur noch ein'n, eh
Das Leben ist nicht lang, es ist irgendwann vorbei
Und deshalb streb' ich jeden Tag nach Unendlichkeit"
